   32.0000000       71.0000000       118.000000    
 position(cm)  PRPv1  PRPv2  PRPv3 PRP2v1 PRP2v2 PRP2v3  HCPv1  HCPv2  HCPv3  VCPv1  VCPv2  VCPv3                                                                                                                                                          
  15.00       858.825    -143.110    -506.751      16.793     183.427     842.045    -110.263   -1402.961   -1234.769     462.210     682.436     623.523
  20.00       944.736    -378.166    -656.600      20.496     223.875    1027.722     -84.594   -1393.073   -1024.881     452.086     662.829     556.672
  25.00       993.477    -543.119    -713.693      21.002     229.397    1053.072       9.913   -1342.704    -820.168     409.154     639.083     490.215
  30.00       953.946    -648.497    -717.946      19.930     217.684     999.303     118.592   -1296.535    -652.747     339.036     621.157     432.556
  35.00       801.784    -707.327    -699.683      18.332     200.233     919.191     181.844   -1276.698    -527.350     255.454     613.881     386.217
  40.00       583.808    -722.266    -676.756      16.743     182.877     839.519     181.464   -1290.064    -438.197     176.246     618.763     350.928
  45.00       376.924    -679.814    -658.386      15.386     168.056     771.483     142.912   -1332.146    -377.666     113.743     634.817     325.492
  50.00       224.524    -547.961    -649.060      14.332     156.537     718.602      98.013   -1384.439    -339.440      70.557     658.003     308.661
  55.00       128.255    -283.214    -651.042      13.585     148.378     681.148      62.467   -1407.192    -319.227      43.104     679.537     299.481
  60.00        72.331     136.207    -665.736      13.128     143.392     658.256      38.595   -1338.350    -314.702      26.390     684.540     297.396
  65.00        41.035     645.340    -694.322      12.939     141.330     648.793      23.719   -1122.126    -325.341      16.367     654.911     302.280
  70.00        23.671    1062.461    -737.878      12.994     141.927     651.530      14.713    -772.768    -352.374      10.341     580.066     314.430
  75.00        13.959    1206.017    -796.969      13.259     144.823     664.829       9.283    -400.439    -398.892       6.672     469.141     334.568
  80.00         8.434    1068.698    -870.380      13.676     149.382     685.754       5.977    -125.499    -470.009       4.400     348.208     363.787
  85.00         5.223     797.949    -952.224      14.126     154.294     708.305       3.933      17.429    -572.736       2.963     242.113     403.376
  90.00         3.313     534.917   -1026.237      14.366     156.916     720.339       2.643      66.144    -714.560       2.036     161.846     454.312
  95.00         2.149     338.175   -1056.446      13.947     152.341     699.337       1.813      69.250    -898.535       1.426     106.394     516.041
 100.00         1.425     208.559    -977.781      12.165     132.878     609.992       1.268      57.078   -1111.417       1.016      69.891     584.115
