    59.72        1.00    0.10000E-05    0.10000E-07   -0.72199225E-04   -0.12844710E-02
    59.72        1.00    0.10975E-05    0.10000E-07   -0.72241484E-04   -0.12844711E-02
    59.72        1.00    0.12045E-05    0.10000E-07   -0.72287864E-04   -0.12844712E-02
    59.72        1.00    0.13219E-05    0.10000E-07   -0.72338765E-04   -0.12844714E-02
    59.72        1.00    0.14508E-05    0.10000E-07   -0.72394629E-04   -0.12844715E-02
    59.72        1.00    0.15923E-05    0.10000E-07   -0.72455940E-04   -0.12844717E-02
    59.72        1.00    0.17475E-05    0.10000E-07   -0.72523228E-04   -0.12844719E-02
    59.72        1.00    0.19179E-05    0.10000E-07   -0.72597077E-04   -0.12844721E-02
    59.72        1.00    0.21049E-05    0.10000E-07   -0.72678126E-04   -0.12844724E-02
    59.72        1.00    0.23101E-05    0.10000E-07   -0.72767078E-04   -0.12844726E-02
    59.72        1.00    0.25354E-05    0.10000E-07   -0.72864702E-04   -0.12844729E-02
    59.72        1.00    0.27826E-05    0.10000E-07   -0.72971844E-04   -0.12844732E-02
    59.72        1.00    0.30539E-05    0.10000E-07   -0.73089433E-04   -0.12844736E-02
    59.72        1.00    0.33516E-05    0.10000E-07   -0.73218486E-04   -0.12844739E-02
    59.72        1.00    0.36784E-05    0.10000E-07   -0.73360121E-04   -0.12844743E-02
    59.72        1.00    0.40370E-05    0.10000E-07   -0.73515566E-04   -0.12844748E-02
    59.72        1.00    0.44306E-05    0.10000E-07   -0.73686166E-04   -0.12844753E-02
    59.72        1.00    0.48626E-05    0.10000E-07   -0.73873400E-04   -0.12844758E-02
    59.72        1.00    0.53367E-05    0.10000E-07   -0.74078889E-04   -0.12844764E-02
    59.72        1.00    0.58570E-05    0.10000E-07   -0.74304412E-04   -0.12844771E-02
    59.72        1.00    0.64281E-05    0.10000E-07   -0.74551924E-04   -0.12844778E-02
    59.72        1.00    0.70548E-05    0.10000E-07   -0.74823567E-04   -0.12844786E-02
    59.72        1.00    0.77426E-05    0.10000E-07   -0.75121695E-04   -0.12844794E-02
    59.72        1.00    0.84975E-05    0.10000E-07   -0.75448890E-04   -0.12844804E-02
    59.72        1.00    0.93260E-05    0.10000E-07   -0.75807986E-04   -0.12844814E-02
    59.72        1.00    0.10235E-04    0.10000E-07   -0.76202093E-04   -0.12844826E-02
    59.72        1.00    0.11233E-04    0.10000E-07   -0.76634625E-04   -0.12844838E-02
    59.72        1.00    0.12328E-04    0.10000E-07   -0.77109327E-04   -0.12844852E-02
    59.72        1.00    0.13530E-04    0.10000E-07   -0.77630311E-04   -0.12844867E-02
    59.72        1.00    0.14850E-04    0.10000E-07   -0.78202090E-04   -0.12844884E-02
    59.72        1.00    0.16298E-04    0.10000E-07   -0.78829616E-04   -0.12844902E-02
    59.72        1.00    0.17886E-04    0.10000E-07   -0.79518324E-04   -0.12844922E-02
    59.72        1.00    0.19630E-04    0.10000E-07   -0.80274179E-04   -0.12844944E-02
    59.72        1.00    0.21544E-04    0.10000E-07   -0.81103728E-04   -0.12844968E-02
    59.72        1.00    0.23645E-04    0.10000E-07   -0.82014154E-04   -0.12844994E-02
    59.72        1.00    0.25950E-04    0.10000E-07   -0.83013344E-04   -0.12845023E-02
    59.72        1.00    0.28480E-04    0.10000E-07   -0.84109951E-04   -0.12845055E-02
    59.72        1.00    0.31257E-04    0.10000E-07   -0.85313472E-04   -0.12845090E-02
    59.72        1.00    0.34305E-04    0.10000E-07   -0.86634331E-04   -0.12845128E-02
    59.72        1.00    0.37649E-04    0.10000E-07   -0.88083968E-04   -0.12845170E-02
    59.72        1.00    0.41320E-04    0.10000E-07   -0.89674938E-04   -0.12845217E-02
    59.72        1.00    0.45349E-04    0.10000E-07   -0.91421018E-04   -0.12845267E-02
    59.72        1.00    0.49770E-04    0.10000E-07   -0.93337330E-04   -0.12845323E-02
    59.72        1.00    0.54623E-04    0.10000E-07   -0.95440471E-04   -0.12845384E-02
