  0.319999993      0.709999979       1.17999995    
 position (cm)  PRPv1  PRPv2  PRPv3 PRP2v1 PRP2v2 PRP2v3  HCPv1  HCPv2  HCPv3  VCPv1  VCPv2  VCPv3                                                                                                                                                         
   0.00     0.000     0.001     0.006    -0.000    -0.002    -0.011     0.003     0.028     0.129     0.002     0.024     0.111
   5.00     0.000     0.005     0.025     0.000     0.002     0.011     0.002     0.024     0.113     0.002     0.021     0.098
  10.00     0.000     0.006     0.028     0.000     0.004     0.019     0.001     0.016     0.073     0.001     0.014     0.063
  15.00     0.000     0.004     0.020     0.000     0.003     0.016     0.001     0.008     0.038     0.001     0.007     0.034
  20.00     0.000     0.002     0.011     0.000     0.002     0.009     0.000     0.004     0.018     0.000     0.003     0.016
  25.00     0.000     0.001     0.006     0.000     0.001     0.005     0.000     0.002     0.009     0.000     0.002     0.008
  30.00     0.000     0.001     0.003     0.000     0.001     0.003     0.000     0.001     0.004     0.000     0.001     0.004
  35.00     0.000     0.000     0.001     0.000     0.000     0.001     0.000     0.000     0.002     0.000     0.000     0.002
  40.00     0.000     0.000     0.001     0.000     0.000     0.001     0.000     0.000     0.001     0.000     0.000     0.001
  45.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000     0.001
  50.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  55.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  60.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  65.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  70.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  75.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  80.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  85.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  90.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  95.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
