X_int_1	Y_int_1	Cond.1[mS/m]	Inph.1[ppt]	X_int_2	Y_int_2	Cond.2[mS/m]	Inph.2[ppt]	X_int_3	Y_int_3	Cond.3[mS/m]	Inph.3[ppt]	Num fich	b et p	Base	Profil
397641.585	5315634.1452	12.72	-0.03	397641.3957	5315634.0983	20.07	-0.18	397641.1676	5315634.0418	24.13	-0.1	2	102	0	97
397642.2909	5315634.3148	10.98	-0.02	397642.1012	5315634.2693	19.12	-0.18	397641.8727	5315634.2145	24.22	-0.14	2	102	0	97
397642.7571	5315634.4177	10.12	-0.02	397642.5672	5315634.3736	17.22	-0.17	397642.3383	5315634.3206	23.15	-0.1	2	102	0	97
397643.2237	5315634.5259	12.71	-0.02	397643.0337	5315634.4818	20.0	-0.21	397642.8048	5315634.4288	23.89	-0.13	2	102	0	97
397643.6899	5315634.6799	10.17	-0.05	397643.5036	5315634.6238	19.31	-0.19	397643.279	5315634.5562	23.72	-0.16	2	102	0	97
397644.3467	5315634.9711	10.13	-0.01	397644.164	5315634.9029	16.82	-0.16	397643.9438	5315634.8207	22.42	-0.1	2	102	0	97
397645.0044	5315635.2025	11.25	-0.01	397644.8205	5315635.1379	17.66	-0.19	397644.5988	5315635.0601	22.64	-0.11	2	102	0	97
397645.4563	5315635.3373	9.44	-0.05	397645.2711	5315635.2763	17.45	-0.18	397645.0479	5315635.2028	22.65	-0.13	2	102	0	97
397645.9074	5315635.4859	9.95	-0.01	397645.7222	5315635.4249	16.08	-0.15	397645.499	5315635.3514	21.68	-0.07	2	102	0	97
397646.3565	5315635.6627	11.9	-0.02	397646.174	5315635.5944	18.05	-0.17	397645.9541	5315635.5121	22.01	-0.08	2	102	0	97
397646.9973	5315635.9614	10.25	0.0	397646.8176	5315635.8858	15.81	-0.14	397646.6009	5315635.7947	21.04	-0.09	2	102	0	97
397647.6399	5315636.2342	8.96	0.0	397647.4604	5315636.158	14.29	-0.12	397647.2441	5315636.0661	20.62	-0.06	2	102	0	97
397648.0269	5315636.4027	9.6	-0.01	397647.8477	5315636.3259	16.02	-0.16	397647.6317	5315636.2333	22.02	-0.07	2	102	0	97
397648.4142	5315636.5688	9.85	0.0	397648.235	5315636.4919	16.96	-0.14	397648.019	5315636.3993	23.12	-0.09	2	102	0	97
397648.8014	5315636.7355	10.6	-0.01	397648.6223	5315636.6585	17.09	-0.15	397648.4064	5315636.5657	22.65	-0.06	2	102	0	97
397649.3969	5315636.9929	12.64	-0.03	397649.2179	5315636.9157	18.93	-0.21	397649.002	5315636.8227	23.01	-0.07	2	102	0	97
397649.9933	5315637.1711	7.46	-0.08	397649.8079	5315637.1146	18.21	-0.12	397649.5845	5315637.0464	23.03	-0.08	2	102	0	97
397650.4365	5315637.1754	9.65	-0.01	397650.2448	5315637.1395	15.87	-0.12	397650.0139	5315637.0963	21.53	-0.06	2	102	0	97
397650.879	5315637.2582	10.84	-0.01	397650.6873	5315637.2223	17.35	-0.18	397650.4563	5315637.1791	23.27	-0.08	2	102	0	97
397651.3211	5315637.338	10.53	-0.01	397651.1293	5315637.303	18.29	-0.15	397650.8981	5315637.2607	23.56	-0.12	2	102	0	97
397652.0213	5315637.4601	10.67	-0.01	397651.8293	5315637.4258	16.93	-0.15	397651.5979	5315637.3845	22.54	-0.09	2	102	0	97
